subject,part,score,reduction,outcome
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedboard,0,,0
staff_07,overhead_table,0,,0
staff_07,bedside_table,0,,0
staff_07,dispencer,0,,0
staff_07,UBlight_sw,0,,0
staff_07,doorhandle,0,1,0
staff_07,UBhandrail,0,,0
staff_07,bedrail,0,,0
staff_07,dispencer,0,,0
staff_07,handrail,0,,0
staff_07,closette,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedcontroller,0,-2.25,0
staff_07,overhead_table,0,1,0
staff_07,bedside_table,0,,0
staff_07,tap,0,,0
staff_07,handrail,0,,0
staff_07,closette,0,,0
staff_07,UBhandrail,0,,0
staff_07,bedrail,0,,1
staff_07,bedrail,0,,1
staff_07,bedrail,0,,1
staff_07,bedboard,0,,1
staff_07,overhead_table,0,,1
staff_07,callbotton,0,,1
staff_07,dispencer,0,,1
staff_07,UBlight_sw,0,,1
staff_07,chair,0,,1
staff_07,UBhandrail,0,,1
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,callbotton,0,,0
staff_07,tap,0,,0
staff_07,handrail,0,,0
staff_07,doorhandle,0,,0
staff_07,UBhandrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,overhead_table,0,,0
staff_07,bedside_table,0,,0
staff_07,dispencer,0,,0
staff_07,bedrail,0,1,0
staff_07,bedboard,0,,0
staff_07,overhead_table,0,,0
staff_07,bedside_table,0,,0
staff_07,dispencer,0,,0
staff_07,UBlight_sw,0,,0
staff_07,doorhandle,0,,0
